iD_EQ,TYPE,SS_TYPE,LIBELLE_EQ,ACCES,VOIE,QUARTIER,COMMUNE,CODE_POST,CODE_INSEE,X_L93,Y_L93,X_WGS84,Y_WGS84
80,Culte,Cimetière,Cimetière ancien de Neuilly,1 r de Vimy,Vimy (rue de),Parc Nord,NANTERRE,92000,92050,643749.992058091,6866454.66209607,2.23278996353746,48.8956397743844
75,Culte,Cimetière,Cimetière de La Garenne Colombes,82 r Jules Ferry,Ferry (rue Jules),Parc Nord,NANTERRE,92000,92050,643637.708542846,6867164.37577274,2.23116434467057,48.9020120103012
78,Culte,Cimetière,Cimetière de Puteaux,467 bd Aimé Césaire,Césaire (boulevard Aimé),Parc Nord,NANTERRE,92000,92050,643409.674758151,6866179.00499589,2.22818532124648,48.893131110685
74,Culte,Cimetière,Cimetière de la Maison Départementale,3 av du Cimetière,Cimetière (avenue du),Petit Nanterre,NANTERRE,92000,92050,642295.614356004,6868076.58727639,2.21273403444063,48.9100960313459
76,Culte,Cimetière,Cimetière du Centre,111 r de Courbevoie,Courbevoie (rue de),Centre,NANTERRE,92000,92050,641913.043688439,6866296.70096046,2.20775856667087,48.8940561940703
77,Culte,Cimetière,Cimetière paysager du Mont-Valérien,102 r du Calvaire,Calvaire (rue du),Plateau - Mont-Valérien,NANTERRE,92000,92050,641916.944173776,6864283.4717375,2.20808712989571,48.8759525311068
79,Culte,Cimetière,Crématorium,104 r du Calvaire,Calvaire (rue du),Plateau - Mont-Valérien,NANTERRE,92000,92050,641923.280653872,6864160.80467751,2.20819028692364,48.874850006254
81,Culte,Lieu de Culte Catholique,Cathédrale Sainte Geneviève,28 r de l'Eglise,Eglise (rue de l'),Centre,NANTERRE,92000,92050,641050.72079052,6865949.26395394,2.1960464937531,48.8908535028121
87,Culte,Lieu de Culte Catholique,Chapelle Saint Joseph,9 r Edmond Dubuis,Dubuis (rue Edmond),Parc Sud,NANTERRE,92000,92050,642802.494183213,6865933.06768408,2.21993787934283,48.8908658667763
82,Culte,Lieu de Culte Catholique,Eglise Saint Paul,55 bd Emile Zola,Zola (boulevard Emile),Université,NANTERRE,92000,92050,642297.861743338,6866477.59185072,2.21298211866165,48.8957174517838
84,Culte,Lieu de Culte Catholique,Eglise Sainte Catherine,50 r des Pâquerettes,Pâquerettes (rue des),Petit Nanterre,NANTERRE,92000,92050,642501.121439986,6867887.16693912,2.21556327285479,48.9084110927228
83,Culte,Lieu de Culte Catholique,Eglise Sainte Marie des Fontenelles,30 av Félix Faure,Faure (avenue Félix),Plateau - Mont-Valérien,NANTERRE,92000,92050,642543.952026501,6865240.67787048,2.21650579311248,48.8846165220526
85,Culte,Lieu de Culte Catholique,Evêché,85 r de Suresnes,Suresnes (rue de),Plateau - Mont-Valérien,NANTERRE,92000,92050,642521.833436556,6865121.11979691,2.21622037698074,48.8835394169829
86,Culte,Lieu de Culte Catholique,Notre Dame de la Miséricorde,36 r André Doucet,Doucet (rue André),Chemin de l'Ile,NANTERRE,92000,92050,641096.299205422,6867054.58101591,2.19651466723101,48.9007971536202
88,Culte,Lieu de Culte Judaïque,Centre Communautaire Juif,13 r du Castel Marly,Castel Marly (rue du),Centre,NANTERRE,92000,92050,641052.221406862,6865782.88577709,2.196090058279,48.8893574894438
412,Culte,Lieu de Culte Musulman,Mosquée El Emir Abdelkader,38 av de la République,République (avenue de la),République,NANTERRE,92000,92050,641341.222787432,6866816.04094017,2.19988832673426,48.8986744722332
89,Culte,Lieu de Culte Musulman,Mosquée OkbaIbn Nafaa,331 av de la République,République (avenue de la),Petit Nanterre,NANTERRE,92000,92050,642582.57426542,6868003.77836694,2.21665865002194,48.9094669736569
92,Culture,Espace Culturel,Ateliers d'Arts Plastiques,9 r des Anciennes Mairies,Anciennes Mairies (rue des),Centre,NANTERRE,92000,92050,641146.640067108,6865970.34452077,2.19735163363421,48.8910518442478
